id,total.01,foreign.01,english.01,other01,,total.06,foreign.06,english.06,other06,,total.11,foreign.11,english.11,other.11,,,,,,,,,,,,,
127011504,16390,6369,8995,1026,,15714,6857,7874,983,,16667,7710,7487,1470,,,,,,,,,,,,,
127011505,8664,2982,4820,862,,8516,3011,4911,594,,9802,3548,5497,757,,,,,,,,,,,,,
127011506,5878,1552,4015,311,,5867,1524,3952,391,,6377,1560,4275,542,,,,,,,,,,,,,
127011507,26318,15391,9606,1321,,27934,16618,9488,1828,,28693,17987,9691,1015,,,,,,,,,,,,,
127011508,11819,5422,5887,510,,16177,7537,7549,1091,,18662,9399,8548,715,,,,,,,,,,,,,
127021509,15976,11373,3938,665,,15297,10986,3642,669,,15202,10963,3611,628,,,,,,,,,,,,,
127021510,18587,10317,7573,697,,18116,10121,7373,622,,18214,10567,7137,510,,,,,,,,,,,,,
127021511,22457,17659,3350,1448,,22235,17185,3142,1908,,23476,18638,3353,1485,,,,,,,,,,,,,
127021512,15517,8885,5772,860,,15208,9201,5011,996,,15788,10060,4838,890,,,,,,,,,,,,,
127021513,19324,13731,4291,1302,,18765,13974,3754,1037,,19501,15007,3543,951,,,,,,,,,,,,,
127021514,9337,6205,2777,355,,9335,6175,2890,270,,9442,6278,2878,286,,,,,,,,,,,,,
127021515,14287,10522,2802,963,,15044,11024,2874,1146,,16876,13099,3064,713,,,,,,,,,,,,,
127021516,15834,9622,5486,726,,16257,10671,4781,805,,17426,12133,4527,766,,,,,,,,,,,,,
127021517,8703,5893,2478,332,,8292,5758,2195,339,,7942,5668,2029,245,,,,,,,,,,,,,
127021518,3714,1497,2001,216,,4083,1585,2298,200,,4265,1556,2370,339,,,,,,,,,,,,,
127021519,16791,8999,7009,783,,16257,8808,6758,691,,16976,9579,6585,812,,,,,,,,,,,,,
